Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_MN_SKM_238984_enhancer_OTOL1_1028474.0_SPTSSB_1153766.0	peak_CM_MN_SKM_238984_enhancer_OTOL1_995134.5_SPTSSB_1120772.5	28	8	28	8	0.0011932429624721408
peak_CM_HP_MN_PP_SKM_157949_promoter_ZNF491	peak_CM_HP_MN_PP_SKM_157949_promoter_ZNF491	59	26	59	26	0.0004471991792769285
peak_CM_MN_PP_SKM_193272_enhancer_TNP1_66911.5_IGFBP5_97579.5	peak_CM_MN_PP_SKM_193272_enhancer_TNP1_66829.5_IGFBP5_97509.5	53	23	53	23	0.0007645817391550476
peak_CM_HP_MN_PP_SKM_51092_enhancer_PWWP2B_6234.5_PWWP2B_24188.5	peak_CM_HP_MN_PP_SKM_51092_enhancer_PWWP2B_6297.0_PWWP2B_24380.5	8	29	8	29	0.0007528970600105822
peak_CM_HP_MN_PP_SKM_170845_promoter_TP53I3	peak_CM_HP_MN_PP_SKM_170845_promoter_TP53I3	117	68	117	68	0.0003886194340684339
peak_CM_HP_MN_PP_SKM_48622_promoter_EIF3A	peak_CM_HP_MN_PP_SKM_48622_promoter_EIF3A	60	25	60	25	0.00018679938527835335
peak_CM_HP_MN_PP_SKM_288844_enhancer_TMEM14A_6664.0_TRAM2_87452.5	peak_CM_HP_MN_PP_SKM_288844_enhancer_TMEM14A_6664.5_TRAM2_85292.5	24	59	24	59	0.00015455941078329168
peak_CM_HP_MN_PP_SKM_128490_promoter_CYB5B	peak_CM_HP_MN_PP_SKM_128490_promoter_CYB5B	45	17	45	17	0.0004970915863810334
peak_CM_HP_MN_PP_SKM_327666_enhancer_ANK1_30988.5_NKX6-3_177781.5	peak_CM_HP_MN_PP_SKM_327666_enhancer_ANK1_30655.0_NKX6-3_176412.0	13	45	13	45	3.011590962911926e-05
peak_CM_HP_MN_PP_SKM_309954_promoter_ZNF736	peak_CM_HP_MN_PP_SKM_309954_promoter_ZNF736	6	26	6	26	0.0005350527353584766
peak_SKM_292582_enhancer_EPHA7_330540.5_MANEA_2488432.5	peak_SKM_292582_enhancer_EPHA7_334199.0_MANEA_2435895.5	26	7	26	7	0.0013187271542847157
peak_CM_HP_MN_PP_SKM_194607_promoter_RHBDD1	peak_CM_HP_MN_PP_SKM_194607_promoter_RHBDD1	45	18	45	18	0.0008980471786680215
peak_CM_HP_MN_PP_SKM_243057_promoter_ZNF732	peak_CM_HP_MN_PP_SKM_243057_promoter_ZNF732	19	42	19	42	0.004444019471066869
